V_12,I_12
-0.0006445299,8.84112431289255E-007
0.0035449142,-3.94986145261822E-006
-0.0025781194,2.17317213741591E-006
-0.0016113246,1.52864228415468E-006
0.0029003843,-2.66080175241024E-006
0,2.395825788193E-007
-0.0009667948,1.20637735767251E-006
0.0009667948,-1.04947712493549E-006
-0.0019335896,1.8509072107358E-006
-0.0012890597,1.20637735767251E-006
-0.0038671791,3.78449677230274E-006
-0.0012890597,8.84112431289255E-007
0.0019335896,-2.01627190171589E-006
0.0009667948,-7.27212199144832E-007
0,-8.26823472674768E-008
-0.0067675635,7.0071460495241E-006
0.004189444,-3.62759652771371E-006
0.0054785037,-5.23892115125408E-006
0.004189444,-3.94986145261822E-006
0.0077343582,-8.13930546745016E-006
0.0025781194,-2.98306667760976E-006
0.0103124776,-1.03951599301283E-005
0.0038671791,-4.91665622674236E-006
-0.0016113246,2.395825788193E-007
0,-4.04947273255507E-007
-0.0022558545,2.17317213741591E-006
-0.0064452985,5.71808633744214E-006
-0.0035449142,3.78449677230274E-006
-0.004511709,4.75129155442533E-006
-0.0022558545,2.49543706419505E-006
-0.0016113246,1.8509072107358E-006
-0.0032226493,3.78449677230274E-006
-0.0016113246,1.52864228415468E-006
0.0038671791,-3.30533160271091E-006
0.0038671791,-3.30533160271091E-006
0.0070898284,-6.85024577234206E-006
0.0074120933,-0.000007817
0.0074120933,-7.49477562009173E-006
0.0032226493,-3.62759652771371E-006
-0.0003222649,-8.26823472674768E-008
0.0022558545,-2.01627190171589E-006
0.0012890597,-1.04947712493549E-006
-0.0012890597,8.84112431289255E-007
-0.0067675635,6.362616193284E-006
0.0035449142,-3.30533160271091E-006
-0.0032226493,0.00000314
0.0025781194,-2.98306667760976E-006
0.0009667948,-1.04947712493549E-006
-0.0012890597,1.52864228415468E-006
-0.0025781194,2.17317213741591E-006
0.0003222649,-4.04947273255507E-007
0.0003222649,-8.26823472674768E-008
0.0003222649,-1.04947712493549E-006
-0.0019335896,1.52864228415468E-006
-0.0048339739,4.75129155442533E-006
-0.0022558545,2.81770199107327E-006
-0.0003222649,1.20637735767251E-006
-0.0012890597,1.52864228415468E-006
0.0048339739,-4.27212637742447E-006
-0.0022558545,0.00000314
-0.0032226493,4.10676169957765E-006
0.0022558545,-1.37174205062753E-006
0.0029003843,-2.01627190171589E-006
0.0054785037,-4.5943913021325E-006
0.0116015373,-1.00728950071813E-005
0.0070898284,-5.88345099998327E-006
0.0029003843,-0.000001694
0.0019335896,-4.04947273255507E-007
0.0032226493,-1.04947712493549E-006
0.0016113246,8.84112431289255E-007
0.0016113246,8.84112431289255E-007
0.0012890597,2.17317213741591E-006
-0.0022558545,4.75129155442533E-006
0.0019335896,1.8509072107358E-006
0.0019335896,2.49543706419505E-006
0.0022558545,2.49543706419505E-006
0.004189444,5.61847505004863E-007
0.0064452985,-7.27212199144832E-007
0.0048339739,2.17317213741591E-006
0.009023418,-2.01627190171589E-006
0.0054785038,1.52864228415468E-006
0.0038671791,4.75129155442533E-006
0.0070898284,1.52864228415468E-006
0.0041894441,4.75129155442533E-006
0.0025781194,7.0071460495241E-006
0.0029003844,7.3294109777936E-006
0.0128905971,-1.37174205062753E-006
0.009023418,2.17317213741591E-006
0.0119238023,5.61847505004863E-007
0.0145019217,-0.000001694
0.0141796568,-1.04947712493549E-006
0.0132128621,2.395825788193E-007
0.0157909815,-1.04947712493549E-006
0.0154687166,5.61847505004863E-007
0.0096679479,6.68488112135425E-006
0.013857392,0.00000314
0.0186913659,2.395825788193E-007
0.0154687166,0.000004429
0.0135351271,6.68488112135425E-006
0.0132128622,8.61847069186881E-006
0.0112792726,1.11965901248144E-005
0.0161132466,7.97394083463168E-006
0.0196581608,5.39582140967045E-006
0.0225585451,0.00000314
0.0222362802,4.75129155442533E-006
0.0257811945,2.17317213741591E-006
0.0273925191,1.52864228415468E-006
0.0267479893,0.00000314
0.0257811945,5.07355648199819E-006
0.0348046125,-2.01627190171589E-006
0.0264257244,6.04035126531331E-006
0.028681579,6.04035126531331E-006
0.0296483738,6.362616193284E-006
0.0309374336,6.362616193284E-006
0.0270702544,1.0874325195346E-005
0.033837818,6.04035126531331E-006
0.033837818,7.3294109777936E-006
0.0476952099,-5.23892115125408E-006
0.0360936726,7.65167590616278E-006
0.0370604674,7.97394083463168E-006
0.0409276467,6.362616193284E-006
0.0409276467,6.68488112135425E-006
0.0367382027,1.248564984369E-005
0.0412499118,9.90753040754155E-006
0.0399608521,1.21633849138207E-005
0.0364159379,1.76418887352719E-005
0.0447948262,1.05520602659778E-005
0.0451170912,1.21633849138207E-005
0.0444725614,1.44192394250143E-005
0.0531737146,7.3294109777936E-006
0.0541405094,8.29620576320034E-006
0.0538182446,1.02297953367097E-005
0.0583299537,6.68488112135425E-006
0.0609080732,6.04035126531331E-006
0.0580076889,1.02297953367097E-005
0.0602635435,9.58526547847345E-006
0.0615526034,1.05520602659778E-005
0.0631639281,1.02297953367097E-005
0.0641307231,1.18411199840517E-005
0.0663865777,1.11965901248144E-005
0.0663865778,1.28079147736597E-005
0.0615526039,1.95754783262712E-005
0.0689646975,0.000014097
0.057685425,2.7954366596159E-005
0.0747654665,1.21633849138207E-005
0.073154142,1.63528290099593E-005
0.0734764071,1.8286418598534E-005
0.0773435864,0.000015386
0.0808885008,1.3774709564171E-005
0.0915232437,6.362616193284E-006
0.0834666206,1.60305640788833E-005
0.0863670052,1.50637692862599E-005
0.0886228599,0.000015386
0.08926739,1.69973588724138E-005
0.0937790992,1.47415043555868E-005
0.0899119202,0.00002022
0.0976462787,0.000014097
0.1028025179,1.21633849138207E-005
0.1028025181,0.000014097
0.1031247833,1.63528290099593E-005
0.1069919627,0.000014097
0.1115036721,1.28079147736597E-005
0.1115036723,1.44192394250143E-005
0.1134372621,1.50637692862599E-005
0.115370852,1.50637692862599E-005
0.1105368783,2.24758627196058E-005
0.117626707,1.73196238037924E-005
0.1163376477,2.15090679209147E-005
0.1189157675,2.18313328537102E-005
0.1176267081,2.5698512055186E-005
0.1263278615,1.92532133941851E-005
0.1247165373,2.37649224526165E-005
0.1366403401,1.47415043555868E-005
0.1363180755,1.73196238037924E-005
0.1363180759,1.95754783262712E-005
0.1401852554,1.8286418598534E-005
0.1421188454,1.92532133941851E-005
0.1492086743,1.47415043555868E-005
0.1485641449,1.79641536668524E-005
0.1508199998,1.79641536668524E-005
0.1508200002,2.05422731231369E-005
0.1550094448,1.95754783262712E-005
0.1591988893,1.76418887352719E-005
0.1572653003,2.2798127652706E-005
0.1572653008,2.5698512055186E-005
0.1601656857,2.5698512055186E-005
0.1575875666,3.08547510133479E-005
0.1653219257,2.66653068578473E-005
0.170478165,2.37649224526165E-005
0.1727340201,2.40871873861234E-005
0.1737008155,0.000026343
0.1798238499,2.37649224526165E-005
0.182079705,2.44094523197322E-005
0.1859468848,2.34426575192113E-005
0.18755821,2.47317172534428E-005
0.1869136806,2.76321016614277E-005
0.1930367152,2.53762471211697E-005
0.1991597496,2.21535977866072E-005
0.1972261606,2.69875717922719E-005
0.2001265458,2.76321016614277E-005
0.202704666,2.82766315309925E-005
0.2059273159,2.76321016614277E-005
0.2091499661,2.7954366596159E-005
0.2139839409,2.66653068578473E-005
0.2188179156,2.44094523197322E-005
0.2207515059,2.53762471211697E-005
0.2217183014,2.73098367267987E-005
0.2291303958,2.34426575192113E-005
0.2252632175,3.08547510133479E-005
0.2300971922,2.89211614009666E-005
0.2333198424,2.89211614009666E-005
0.235575698,3.05324860776946E-005
0.2371870232,3.08547510133479E-005
0.2413764685,3.08547510133479E-005
0.2397651448,0.000036011
0.2436323249,3.53664601232912E-005
0.2523334793,3.05324860776946E-005
0.25297801,3.27883406294248E-005
0.2558783956,3.37551354388519E-005
0.2639350202,0.000029888
0.2516889533,4.47121433440893E-005
0.268768996,3.08547510133479E-005
0.2703803221,3.37551354388519E-005
0.2768256215,2.95656912713503E-005
0.2790814774,3.14992808849625E-005
0.2845599825,2.95656912713503E-005
0.2842377188,3.37551354388519E-005
0.2871381043,3.40774003755335E-005
0.2922943444,3.2143810756988E-005
0.2984173795,0.000029888
