Frequency3,Magnitude3,Phase3,Nyquist_Real3,Nyquist_Imag3
0,8568.0214436902,-3.1415926536,-8568.0214436902,-1.39283896055336E-012
39.839050237,65259.8151592962,-0.133210533,64681.651665167,-8667.6070798983
79.6781004741,64530.4005158571,1.1401468936,26938.9272748249,58638.4412140929
119.5171507111,50442.8961167982,0.4377424432,45686.6828272752,21382.5344823773
159.3562009482,77124.4959071166,-0.1843995507,75816.9676167588,-14141.2619778504
199.1952511852,309997.68543433,-0.4950907129,272774.903917965,-147283.457208155
239.0343014223,536609.6019768,-2.7489740578,-495779.154515655,-205311.701764517
278.8733516593,277501.970366122,-0.0877942519,276433.188032348,-24331.7921936036
318.7124018963,78101.6690193565,-0.1132278173,77601.5509460723,-8824.3976776464
358.5514521334,53193.2461394838,-0.48574001,47040.3678295536,-24833.9531552269
398.3905023704,59046.9561386268,-0.322056567,56011.1445106679,-18689.428023404
438.2295526075,110131.016073354,-0.5804315468,92094.4272051995,-60394.1816659153
478.0686028445,201670.872605937,-0.4035271434,185473.017647937,-79189.0180656912
517.9076530816,273197.947554438,-0.9192487725,165672.061025859,-217232.333558799
557.7467033186,83235.3319207762,-0.5116002029,72578.0637989089,-40749.7869339621
597.5857535557,62089.8258296529,-0.280545476,59662.3961469195,-17191.4210455295
637.4248037927,71878.1674568641,-0.6343920819,57892.9870269915,-42601.3263883837
677.2638540297,116899.60816863,-0.7014097841,89303.4940463552,-75434.768781324
717.1029042668,207233.66841205,-1.6844210541,-23496.2344652607,-205897.353769953
756.9419545038,100680.593879974,-0.869748183,64940.8957654377,-76936.7405158736
796.7810047409,89540.6881204636,-0.6749966148,69905.2270396577,-55953.4991007715
836.6200549779,43822.4851728126,-0.6385399517,35188.0023000913,-26119.2400511605
876.459105215,56522.4720386126,-0.6262766664,45795.3820848488,-33129.6366575073
916.298155452,85571.0420445431,-0.6434574938,68459.0728771822,-51339.6394356799
956.137205689,81312.9264930356,-1.1053117096,36497.7876183567,-72661.568341367
995.9762559261,73320.3678642422,-0.9830298882,40656.413772765,-61015.836984225
1035.8153061631,56193.3325756012,-0.9331102476,33454.0182621035,-45149.9644304507
1075.6543564002,53358.4003203218,-0.2727645878,51385.7302193601,-14374.4778884961
1115.4934066372,63471.3597411152,-1.0363791358,32328.4757466913,-54621.2702459551
1155.3324568743,77701.5558058212,-0.7452536936,57104.1073860742,-52693.9531092975
1195.1715071113,83841.3756309793,-1.7285158072,-13168.6633046874,-82800.7401806454
1235.0105573484,53875.6930787904,-0.9401240179,31769.8426342274,-43511.6927240995
1274.8496075854,56635.7076338231,-1.107311151,25320.0298118256,-50660.6303702604
1314.6886578224,44785.846734271,-0.8466515723,29670.4017470017,-33547.56813656
1354.5277080595,63180.3988743289,-1.1129832652,27924.9424596634,-56674.1598133028
1394.3667582965,51921.1836229095,-0.9729736117,29223.5342383857,-42916.131645592
1434.2058085336,44952.8130349509,-1.2978424055,12118.2522229755,-43288.605461664
1474.0448587706,57171.7920465635,-0.9046428751,35330.2460854744,-44948.7209757444
1513.8839090077,42453.6323535834,-1.194760132,15590.5241828233,-39487.2948645261
1553.7229592447,47902.361591337,-0.5279157237,41380.8798007525,-24130.0441968693
1593.5620094818,52247.0892786491,-1.4425747784,6680.861098685,-51818.1863159181
